R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0005	-00.0006	0000.000
-00.0002	-00.0006	0000.001
+00.0047	-00.0006	0000.002
+00.0099	-00.0009	0000.003
+00.0157	-00.0006	0000.004
+00.0209	-00.0006	0000.005
+00.0261	-00.0009	0000.006
+00.0319	-00.0009	0000.007
+00.0370	-00.0003	0000.008
+00.0419	-00.0006	0000.009
+00.0480	-00.0006	0000.010
+00.0529	-00.0003	0000.011
+00.0587	-00.0006	0000.012
+00.0636	-00.0009	0000.013
+00.0688	-00.0003	0000.014
+00.0740	-00.0003	0000.015
+00.0798	-00.0006	0000.016
+00.0853	-00.0009	0000.017
+00.0904	-00.0003	0000.018
+00.0962	-00.0003	0000.019
+00.1014	+00.0000	0000.020
+00.1063	-00.0006	0000.021
+00.1112	-00.0003	0000.022
+00.1170	-00.0003	0000.023
+00.1225	-00.0006	0000.024
+00.1280	-00.0003	0000.025
+00.1329	+00.0003	0000.026
+00.1387	-00.0003	0000.027
+00.1439	+00.0000	0000.028
+00.1493	-00.0003	0000.029
+00.1545	+00.0003	0000.030
+00.1597	-00.0003	0000.031
+00.1646	+00.0000	0000.032
+00.1704	+00.0000	0000.033
+00.1756	+00.0003	0000.034
+00.1814	+00.0000	0000.035
+00.1863	+00.0000	0000.036
+00.1921	+00.0003	0000.037
+00.1970	+00.0003	0000.038
+00.2018	+00.0000	0000.039
+00.2082	+00.0003	0000.040
+00.2131	+00.0006	0000.041
+00.2183	+00.0003	0000.042
+00.2235	+00.0000	0000.043
+00.2290	+00.0010	0000.044
+00.2342	+00.0006	0000.045
+00.2400	+00.0003	0000.046
+00.2452	+00.0006	0000.047
+00.2507	+00.0003	0000.048
+00.2559	+00.0006	0000.049
+00.2613	+00.0003	0000.050
+00.2668	+00.0010	0000.051
+00.2717	+00.0006	0000.052
+00.2772	+00.0006	0000.053
+00.2830	+00.0003	0000.054
+00.2876	+00.0013	0000.055
+00.2934	+00.0010	0000.056
+00.2986	+00.0010	0000.057
+00.3038	+00.0013	0000.058
+00.3096	+00.0010	0000.059
+00.3144	+00.0010	0000.060
+00.3199	+00.0010	0000.061
+00.3254	+00.0010	0000.062
+00.3306	+00.0013	0000.063
+00.3361	+00.0010	0000.064
+00.3413	+00.0013	0000.065
+00.3465	+00.0016	0000.066
+00.3520	+00.0016	0000.067
+00.3572	+00.0016	0000.068
+00.3633	+00.0013	0000.069
+00.3682	+00.0022	0000.070
+00.3736	+00.0019	0000.071
+00.3788	+00.0016	0000.072
+00.3843	+00.0016	0000.073
+00.3895	+00.0022	0000.074
+00.3947	+00.0016	0000.075
+00.4002	+00.0019	0000.076
+00.4057	+00.0016	0000.077
+00.4112	+00.0022	0000.078
+00.4164	+00.0022	0000.079
+00.4216	+00.0022	0000.080
+00.4267	+00.0022	0000.081
+00.4325	+00.0022	0000.082
+00.4374	+00.0022	0000.083
+00.4429	+00.0025	0000.084
+00.4478	+00.0022	0000.085
+00.4536	+00.0025	0000.086
+00.4588	+00.0028	0000.087
+00.4649	+00.0025	0000.088
+00.4692	+00.0025	0000.089
+00.4750	+00.0028	0000.090
+00.4802	+00.0028	0000.091
+00.4856	+00.0028	0000.092
+00.4905	+00.0028	0000.093
+00.4963	+00.0028	0000.094
+00.5012	+00.0031	0000.095
+00.5070	+00.0025	0000.096
+00.5125	+00.0037	0000.097
+00.5177	+00.0034	0000.098
+00.5232	+00.0034	0000.099
+00.5284	+00.0034	0000.100
+00.5339	+00.0034	0000.101
+00.5387	+00.0034	0000.102
+00.5445	+00.0034	0000.103
+00.5500	+00.0037	0000.104
+00.5552	+00.0034	0000.105
+00.5604	+00.0040	0000.106
+00.5656	+00.0037	0000.107
+00.5708	+00.0040	0000.108
+00.5766	+00.0037	0000.109
+00.5821	+00.0043	0000.110
+00.5873	+00.0043	0000.111
+00.5922	+00.0046	0000.112
+00.5976	+00.0046	0000.113
+00.6031	+00.0049	0000.114
+00.6086	+00.0046	0000.115
+00.6141	+00.0046	0000.116
+00.6193	+00.0049	0000.117
