R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0002	-00.0012	0000.000
-00.0002	-00.0009	0000.001
-00.0151	-00.0012	0000.002
-00.0301	-00.0009	0000.003
-00.0454	-00.0012	0000.004
-00.0597	-00.0009	0000.005
-00.0753	-00.0009	0000.006
-00.0899	-00.0003	0000.007
-00.1052	-00.0012	0000.008
-00.1198	-00.0012	0000.009
-00.1351	-00.0012	0000.010
-00.1509	-00.0015	0000.011
-00.1650	-00.0012	0000.012
-00.1802	-00.0015	0000.013
-00.1952	-00.0015	0000.014
-00.2105	-00.0015	0000.015
-00.2254	-00.0015	0000.016
-00.2407	-00.0018	0000.017
-00.2556	-00.0015	0000.018
-00.2706	-00.0018	0000.019
-00.2849	-00.0015	0000.020
-00.3008	-00.0018	0000.021
-00.3157	-00.0018	0000.022
-00.3307	-00.0015	0000.023
-00.3453	-00.0015	0000.024
-00.3603	-00.0018	0000.025
-00.3756	-00.0018	0000.026
-00.3905	-00.0015	0000.027
-00.4058	-00.0018	0000.028
-00.4207	-00.0021	0000.029
-00.4357	-00.0021	0000.030
-00.4503	-00.0024	0000.031
-00.4656	-00.0024	0000.032
-00.4805	-00.0027	0000.033
-00.4958	-00.0021	0000.034
-00.5114	-00.0024	0000.035
-00.5257	-00.0024	0000.036
-00.5407	-00.0027	0000.037
-00.5559	-00.0024	0000.038
-00.5706	-00.0027	0000.039
-00.5855	-00.0030	0000.040
-00.6014	-00.0027	0000.041
-00.6160	-00.0027	0000.042
-00.6310	-00.0030	0000.043
-00.6462	-00.0030	0000.044
-00.6612	-00.0036	0000.045
-00.6759	-00.0033	0000.046
-00.6908	-00.0033	0000.047
-00.7061	-00.0033	0000.048
-00.7213	-00.0036	0000.049
-00.7363	-00.0033	0000.050
-00.7512	-00.0036	0000.051
-00.7665	-00.0039	0000.052
-00.7808	-00.0036	0000.053
-00.7958	-00.0036	0000.054
-00.8113	-00.0039	0000.055
-00.8260	-00.0039	0000.056
-00.8413	-00.0039	0000.057
-00.8562	-00.0039	0000.058
-00.8712	-00.0039	0000.059
-00.8861	-00.0042	0000.060
-00.9017	-00.0042	0000.061
-00.9163	-00.0045	0000.062
-00.9319	-00.0042	0000.063
-00.9468	-00.0045	0000.064
-00.9609	-00.0042	0000.065
-00.9758	-00.0045	0000.066
-00.9917	-00.0045	0000.067
-01.0070	-00.0048	0000.068
-01.0216	-00.0045	0000.069
-01.0360	-00.0048	0000.070
-01.0518	-00.0045	0000.071
-01.0665	-00.0045	0000.072
-01.0817	-00.0048	0000.073
-01.0964	-00.0048	0000.074
-01.1113	-00.0052	0000.075
-01.1263	-00.0052	0000.076
-01.1415	-00.0052	0000.077
-01.1568	-00.0052	0000.078
-01.1715	-00.0055	0000.079
-01.1864	-00.0052	0000.080
-01.2020	-00.0058	0000.081
-01.2169	-00.0055	0000.082
-01.2319	-00.0058	0000.083
-01.2465	-00.0058	0000.084
-01.2615	-00.0052	0000.085
-01.2770	-00.0058	0000.086
-01.2920	-00.0052	0000.087
-01.3070	-00.0061	0000.088
-01.3219	-00.0064	0000.089
-01.3369	-00.0058	0000.090
-01.3521	-00.0064	0000.091
-01.3668	-00.0061	0000.092
-01.3817	-00.0064	0000.093
-01.3967	-00.0061	0000.094
-01.4119	-00.0070	0000.095
-01.4275	-00.0073	0000.096
-01.4418	-00.0067	0000.097
-01.4571	-00.0064	0000.098
-01.4717	-00.0067	0000.099
-01.4867	-00.0064	0000.100
-01.5026	-00.0067	0000.101
-01.5175	-00.0070	0000.102
-01.5322	-00.0073	0000.103
-01.5471	-00.0070	0000.104
-01.5621	-00.0073	0000.105
-01.5776	-00.0070	0000.106
-01.5917	-00.0073	0000.107
-01.6076	-00.0073	0000.108
-01.6225	-00.0076	0000.109
-01.6372	-00.0076	0000.110
-01.6527	-00.0073	0000.111
-01.6674	-00.0073	0000.112
-01.6829	-00.0079	0000.113
-01.6976	-00.0079	0000.114
-01.7128	-00.0076	0000.115
-01.7275	-00.0082	0000.116
-01.7434	-00.0082	0000.117
